client,street,city,zip,sales_2017,sales_2018,address,tier,sales_potential,trend,h1_2018,h1_2019,lat,lon,account_owner,inpex_mah
Client example 366,,,,465,143,example address 366,,,No Sales,,,30.249437,-97.998779,Owner example 366,type 2
Client example 367,,,,500,,example address 367,,,,,,30.1966317,-97.9981476,Owner example 367,type 2
Client example 368,,,,,,example address 368,,High,Extreme Growth (50+),,140,29.5818862,-97.9408355,Owner example 368,type 2
Client example 369,,,,4388,"6,110",example address 369,Tier 4,Low,Extreme Growth (50+),"2,651","7,283",27.9566843,-97.9369447,Owner example 369,type 2
Client example 370,,,,,287,example address 370,,,Extreme Loss (-50+),249,,29.8851187,-97.9287673,Owner example 370,type 2
Client example 371,,,,706,317,example address 371,,High,Extreme Loss (-50+),188,51,29.5165211,-97.9199415,Owner example 371,type 2
Client example 372,,,,3272,"4,375",example address 372,Tier 4,Moderate,Major Growth (20 to 49),"2,069","2,699",29.9809726,-97.8700555,Owner example 372,type 2
Client example 373,,,,384,"1,989",example address 373,Tier 4,Low,Extreme Growth (50+),504,"3,438",27.5185784,-97.8667093,Owner example 373,type 2
Client example 374,,,,2068,"3,012",example address 374,Tier 4,Low,Extreme Loss (-50+),"2,446",771,30.562468,-97.8636504,Owner example 374,type 2
Client example 375,,,,1015,"2,035",example address 375,Tier 4,Low,Extreme Growth (50+),733,"4,127",30.5289031,-97.8515427,Owner example 375,type 2
Client example 376,,,,3175,"4,075",example address 376,Tier 4,Low,Extreme Growth (50+),"1,816","3,566",32.404125,-97.840971,Owner example 376,type 2
Client example 377,,,,,,example address 377,,,,,,30.1205078,-97.8159971,Owner example 377,type 2
Client example 378,,,,379,192,example address 378,,,Extreme Loss (-50+),110,,31.0742428,-97.8114214,Owner example 378,type 2
Client example 379,,,,181,396,example address 379,,Moderate,Extreme Growth (50+),176,503,33.1903,-97.8109,Owner example 379,type 2
Client example 380,,,,638,,example address 380,,,,,,32.4898835,-97.8096037,Owner example 380,type 2
Client example 381,,,,3121,"5,033",example address 381,Tier 4,High,No Growth (-4 to 4),"1,998","1,998",32.444845,-97.8045999,Owner example 381,type 2
Client example 382,,,,380,,example address 382,,,,,,32.6161741,-97.802234,Owner example 382,type 2
Client example 383,,,,,"109,618",example address 383,Tier 1,,Major Loss (-49 to -20),"57,002","37,200",32.7435973,-97.7981778,Owner example 383,type 1
Client example 384,,,,,,example address 384,,,,,,30.8325917,-97.7968824,Owner example 384,type 2
Client example 385,,,,135,"2,309",example address 385,Tier 4,Low,Major Growth (20 to 49),"2,271","3,171",32.7701262,-97.7912765,Owner example 385,type 2
Client example 386,,,,1961,,example address 386,,,,,,30.2432975,-97.7812972,Owner example 386,type 2
Client example 387,,,,,178,example address 387,,High,Extreme Growth (50+),,"6,270",30.3463634,-97.7784099,Owner example 387,type 2
Client example 388,,,,495,,example address 388,,,,,,32.4212319,-97.7758199,Owner example 388,type 2
Client example 389,,,,,"61,144",example address 389,Tier 2,,Moderate Loss (-19 to -5),"31,356","27,810",32.7493866,-97.7695788,Owner example 389,type 1
Client example 390,,,,479,413,example address 390,,Low,No Growth (-4 to 4),375,375,30.380268,-97.7648028,Owner example 390,type 2
Client example 391,,,,,"1,975",example address 391,Tier 4,Moderate,Major Loss (-49 to -20),"1,156",724,30.3537093,-97.7537184,Owner example 391,type 2
Client example 392,,,,,,example address 392,,,,,,30.2378516,-97.7534266,Owner example 392,type 2
Client example 393,,,,,,example address 393,,,,,,31.4359964,-97.7481636,Owner example 393,type 2
Client example 394,,,,210,191,example address 394,,High,Major Loss (-49 to -20),71,40,30.2742884,-97.7481423,Owner example 394,type 2
Client example 395,,,,,,example address 395,,,,,,30.3553609,-97.7320375,Owner example 395,type 2
Client example 396,,,,,"126,682",example address 396,Tier 1,,Major Loss (-49 to -20),"86,114","65,971",31.1225569,-97.7311252,Owner example 396,type 1
Client example 397,,,,,538,example address 397,,,Extreme Growth (50+),260,"1,575",31.1225569,-97.7311252,Owner example 397,type 1
Client example 398,,,,124,,example address 398,,,,,,31.1203242,-97.727561,Owner example 398,type 2
Client example 399,,,,1287,"1,310",example address 399,Tier 4,Moderate,No Growth (-4 to 4),470,454,30.4931217,-97.7251881,Owner example 399,type 2
Client example 400,,,,,"592,974",example address 400,Tier 1,,Major Loss (-49 to -20),"416,562","268,655",30.3391595,-97.7183757,Owner example 400,type 1
Client example 401,,,,,"48,488",example address 401,Tier 3,,Major Loss (-49 to -20),"25,436","20,173",30.3391595,-97.7183757,Owner example 401,type 1
Client example 402,,,,,"289,237",example address 402,Tier 1,,Moderate Loss (-19 to -5),"188,161","170,723",30.3391595,-97.7183757,Owner example 402,type 1
Client example 403,,,,20,,example address 403,,Low,Extreme Growth (50+),,40,30.4309988,-97.7177605,Owner example 403,type 2
Client example 404,,,,,58,example address 404,,,No Sales,,,30.5233343,-97.7155969,Owner example 404,type 2
Client example 405,,,,,,example address 405,,,,,,30.527199,-97.7077069,Owner example 405,type 2
Client example 406,,,,992,"2,588",example address 406,Tier 4,,Extreme Loss (-50+),"1,816",,31.026684,-97.6977036,Owner example 406,type 2
Client example 407,,,,6719,"5,194",example address 407,Tier 4,,Extreme Loss (-50+),"4,505",,31.1158352,-97.6907207,Owner example 407,type 2
Client example 408,,,,,,example address 408,,,Extreme Loss (-50+),"1,179",,30.2527847,-97.6904186,Owner example 408,type 1
Client example 409,,,,19840,"27,006",example address 409,Tier 3,Moderate,Major Growth (20 to 49),"10,979","15,195",30.6174439,-97.6555129,Owner example 409,type 2
Client example 410,,,,,"1,057",example address 410,Tier 4,,No Growth (-4 to 4),460,480,30.4473968,-97.6470972,Owner example 410,type 1
Client example 411,,,,,"235,998",example address 411,Tier 1,,Major Loss (-49 to -20),"158,946","127,739",30.4473968,-97.6470972,Owner example 411,type 1
Client example 412,,,,,,example address 412,,,,,,30.4472114,-97.6390654,Owner example 412,type 2
Client example 413,,,,1742,"1,577",example address 413,Tier 4,,Extreme Loss (-50+),539,,30.428982,-97.6258041,Owner example 413,type 2
Client example 414,,,,,,example address 414,,,,,,30.4929608,-97.6133067,Owner example 414,type 2
Client example 415,,,,6970,"6,834",example address 415,Tier 4,Moderate,Moderate Loss (-19 to -5),"2,725","2,431",33.2318012,-97.6110828,Owner example 415,type 2
Client example 416,,,,,366,example address 416,,High,Extreme Loss (-50+),328,149,30.430431,-97.607272,Owner example 416,type 2
Client example 417,,,,,,example address 417,,,,,,30.4756059,-97.5849735,Owner example 417,type 2
Client example 418,,,,3201,58,example address 418,,Low,Extreme Growth (50+),20,"1,998",32.8241461,-97.5813956,Owner example 418,type 2
Client example 419,,,,,541,example address 419,,Low,Extreme Growth (50+),,618,33.128499,-97.548568,Owner example 419,type 2
Client example 420,,,,9287,"4,101",example address 420,Tier 4,,Extreme Loss (-50+),"3,173",,32.8893655,-97.5329592,Owner example 420,type 2
Client example 421,,,,,"4,121",example address 421,Tier 4,,Extreme Loss (-50+),"3,173",20,32.8893655,-97.5329592,Owner example 421,type 1
Client example 422,,,,,"6,737",example address 422,Tier 4,,Extreme Growth (50+),"1,899","4,285",32.8893655,-97.5329592,Owner example 422,type 1
Client example 423,,,,424,863,example address 423,,Moderate,Extreme Growth (50+),345,543,31.8273067,-97.4811259,Owner example 423,type 2
Client example 424,,,,,,example address 424,,,,,,31.0516603,-97.4795482,Owner example 424,type 2
Client example 425,,,,6951,"5,077",example address 425,Tier 4,Moderate,Major Growth (20 to 49),"2,019","2,615",31.1027324,-97.467829,Owner example 425,type 2
Client example 426,,,,,,example address 426,,Moderate,Extreme Growth (50+),,549,30.1096256,-97.4644853,Owner example 426,type 2
Client example 427,,,,,138,example address 427,,,No Growth (-4 to 4),80,80,32.7760442,-97.4265325,Owner example 427,type 1
Client example 428,,,,566,"8,056",example address 428,Tier 4,Moderate,Extreme Growth (50+),"2,034","6,426",27.6906499,-97.4186747,Owner example 428,type 2
Client example 429,,,,992,"3,771",example address 429,Tier 4,High,Extreme Loss (-50+),"2,740","1,018",32.3871419,-97.4045509,Owner example 429,type 2
Client example 430,,,,,138,example address 430,,,Extreme Growth (50+),40,60,32.7744839,-97.400266,Owner example 430,type 1
Client example 431,,,,,287,example address 431,,,Extreme Loss (-50+),249,,32.6845291,-97.3966089,Owner example 431,type 1
Client example 432,,,,10287,"9,674",example address 432,Tier 4,Moderate,Major Loss (-49 to -20),"6,081","3,328",32.6488246,-97.3962754,Owner example 432,type 2
Client example 433,,,,4373,"1,593",example address 433,Tier 4,Moderate,Extreme Growth (50+),378,746,32.4608688,-97.3899417,Owner example 433,type 2
Client example 434,,,,,,example address 434,,,,,,32.9159655,-97.3768872,Owner example 434,type 2
Client example 435,,,,,"4,005",example address 435,Tier 4,,Extreme Loss (-50+),"2,679","1,239",32.8743964,-97.3737595,Owner example 435,type 1
Client example 436,,,,,,example address 436,,,,,,32.5791961,-97.3574521,Owner example 436,type 2
Client example 437,,,,1604,"1,685",example address 437,Tier 4,Moderate,Major Loss (-49 to -20),"1,347",926,27.7199496,-97.3495669,Owner example 437,type 2
Client example 438,,,,,219,example address 438,,,Extreme Growth (50+),21,"1,128",32.7388748,-97.3375902,Owner example 438,type 1
Client example 439,,,,,"196,234",example address 439,Tier 1,,Major Loss (-49 to -20),"126,017","79,271",32.5408068,-97.3326641,Owner example 439,type 1
Client example 440,,,,,"71,618",example address 440,Tier 2,,Major Growth (20 to 49),"32,893","43,579",32.7503057,-97.3308124,Owner example 440,type 1
Client example 441,,,,,287,example address 441,,,Extreme Loss (-50+),249,,32.9134312,-97.3137128,Owner example 441,type 1
Client example 442,,,,283,1020,example address 442,,Moderate,Extreme Growth (50+),82,369,32.7843572,-97.3130792,Owner example 442,type 2
Client example 443,,,,,"239,940",example address 443,Tier 1,,Major Loss (-49 to -20),"103,904","60,730",32.9709775,-97.3112035,Owner example 443,type 1
Client example 444,,,,159,71,example address 444,,,Extreme Loss (-50+),33,,30.358282,-97.308886,Owner example 444,type 2
Client example 445,,,,,"105,377",example address 445,Tier 1,,Moderate Growth (5 to 19),"51,630","60,177",32.7454469,-97.3017308,Owner example 445,type 1
Client example 446,,,,,"4,182",example address 446,Tier 4,,Major Growth (20 to 49),"3,250","4,676",32.7455799,-97.3013302,Owner example 446,type 1
Client example 447,,,,269,"1,999",example address 447,Tier 4,Low,Extreme Loss (-50+),"1,694",395,32.2744802,-97.2973876,Owner example 447,type 2
Client example 448,,,,,,example address 448,,,,,,33.4502285,-97.2924915,Owner example 448,type 2
Client example 449,,,,,,example address 449,,,,,,32.8955207,-97.290283,Owner example 449,type 2
Client example 450,,,,,,example address 450,,,Extreme Growth (50+),,"4,517",32.6855179,-97.2827154,Owner example 450,type 1
Client example 451,,,,,,example address 451,,,,,,32.6776464,-97.275781,Owner example 451,type 2
Client example 452,,,,27250,"40,086",example address 452,Tier 3,Low,Extreme Growth (50+),"20,713","32,832",32.8748668,-97.2636955,Owner example 452,type 2
Client example 453,,,,4972,"5,550",example address 453,Tier 4,Moderate,No Growth (-4 to 4),"1,924","1,945",32.8752,-97.256499,Owner example 453,type 2
Client example 454,,,,,,example address 454,,,,,,32.5801481,-97.2563462,Owner example 454,type 2
Client example 455,,,,,287,example address 455,,,Extreme Loss (-50+),249,,32.6884582,-97.2505363,Owner example 455,type 1
Client example 456,,,,,,example address 456,,,,,,32.948422,-97.2451009,Owner example 456,type 2
Client example 457,,,,2502,"3,468",example address 457,Tier 4,Moderate,Moderate Loss (-19 to -5),"1,772","1,473",32.8575712,-97.2299367,Owner example 457,type 2
Client example 458,,,,,,example address 458,,,,,,32.9220519,-97.2275125,Owner example 458,type 2
Client example 459,,,,,,example address 459,,,,,,32.6474288,-97.2250905,Owner example 459,type 2
Client example 460,,,,354,58,example address 460,,,Extreme Loss (-50+),20,,31.4828238,-97.2171091,Owner example 460,type 2
Client example 461,,,,,,example address 461,,,,,,32.6613023,-97.216351,Owner example 461,type 2
Client example 462,,,,,538,example address 462,,,No Sales,,,27.8678971,-97.2148559,Owner example 462,type 2
Client example 463,,,,,,example address 463,,,,,,32.7536847,-97.2134977,Owner example 463,type 2
Client example 464,,,,,,example address 464,,,,,,31.472904,-97.201183,Owner example 464,type 2
Client example 465,,,,,"14,637",example address 465,Tier 3,,Major Loss (-49 to -20),"9,249","5,504",32.8407352,-97.1868556,Owner example 465,type 1
Client example 466,,,,,"245,596",example address 466,Tier 1,,Major Loss (-49 to -20),"128,493","80,731",32.849756,-97.1847087,Owner example 466,type 1
Client example 467,,,,1400,"2,628",example address 467,Tier 4,Moderate,Extreme Loss (-50+),"1,363",328,32.7145859,-97.1796908,Owner example 467,type 2
Client example 468,,,,,53,example address 468,,,Extreme Loss (-50+),15,,32.8174913,-97.155669,Owner example 468,type 2
Client example 469,,,,,"2,283",example address 469,Tier 4,Moderate,Extreme Growth (50+),382,"1,122",32.5532662,-97.1458026,Owner example 469,type 2
Client example 470,,,,,"828,044",example address 470,Tier 1,,Extreme Growth (50+),"422,659","726,187",33.2293479,-97.139324,Owner example 470,type 1
Client example 471,,,,,,example address 471,,,,,,33.0382126,-97.1379741,Owner example 471,type 2
Client example 472,,,,,,example address 472,,,,,,32.3821568,-97.1375993,Owner example 472,type 2
Client example 473,,,,533,981,example address 473,,Moderate,Major Loss (-49 to -20),242,132,32.5910129,-97.1366317,Owner example 473,type 2
Client example 474,,,,20,,example address 474,,,,,,33.21,-97.13,Owner example 474,type 2
Client example 475,,,,,,example address 475,,,,,,32.8540102,-97.1222049,Owner example 475,type 2
Client example 476,,,,,"68,413",example address 476,Tier 2,,No Growth (-4 to 4),"26,716","27,581",33.2107127,-97.1124636,Owner example 476,type 1
Client example 477,,,,,"4,048",example address 477,Tier 4,,Extreme Loss (-50+),"3,450",625,33.2163979,-97.111166,Owner example 477,type 1
Client example 478,,,,264,118,example address 478,,,Extreme Loss (-50+),40,,32.7896799,-97.1100517,Owner example 478,type 2
Client example 479,,,,,,example address 479,,,,,,31.5889619,-97.1010834,Owner example 479,type 2
Client example 480,,,,,,example address 480,,,,,,32.7834207,-97.0954675,Owner example 480,type 2
Client example 481,,,,,"53,705",example address 481,Tier 2,,No Growth (-4 to 4),"14,115","13,806",32.6522185,-97.094979,Owner example 481,type 1
Client example 482,,,,,287,example address 482,,,Extreme Loss (-50+),249,,32.6522185,-97.094979,Owner example 482,type 1
Client example 483,,,,,,example address 483,,,,,,33.0727488,-97.0906647,Owner example 483,type 2
Client example 484,,,,20,,example address 484,,,,,,33.0797655,-97.0823264,Owner example 484,type 2
Client example 485,,,,406,"1,528",example address 485,Tier 4,,No Sales,,,32.9474768,-97.0806831,Owner example 485,type 2
Client example 486,,,,215,,example address 486,,,,,,32.93,-97.08,Owner example 486,type 2
Client example 487,,,,,,example address 487,,,,,,33.0307934,-97.0792372,Owner example 487,type 2
Client example 488,,,,,705,example address 488,,Moderate,Major Growth (20 to 49),667,835,27.835478,-97.0686027,Owner example 488,type 2
Client example 489,,,,407,100,example address 489,,,Extreme Loss (-50+),42,,30.2726987,-97.0639736,Owner example 489,type 2
Client example 490,,,,,538,example address 490,,,Extreme Loss (-50+),500,,27.8351902,-97.063184,Owner example 490,type 2
Client example 491,,,,40,,example address 491,,,,,,33.0603433,-97.0551693,Owner example 491,type 2
Client example 492,,,,,"8,011",example address 492,Tier 4,,Major Loss (-49 to -20),"6,083","4,257",32.657714,-97.0549592,Owner example 492,type 1
Client example 493,,,,,"22,356",example address 493,Tier 3,,Major Loss (-49 to -20),"13,088","8,544",33.0345432,-97.0539824,Owner example 493,type 1
Client example 494,,,,,95,example address 494,,,,,57,32.7828349,-97.0493091,Owner example 494,type 2
Client example 495,,,,1350,"2,256",example address 495,Tier 4,Moderate,Extreme Loss (-50+),"1,164",536,28.0694246,-97.0468695,Owner example 495,type 2
Client example 496,,,,,"42,241",example address 496,Tier 3,,Major Growth (20 to 49),"16,778","20,288",32.6988427,-97.0354187,Owner example 496,type 1
Client example 497,,,,,287,example address 497,,,Extreme Loss (-50+),249,,32.6988427,-97.0354187,Owner example 497,type 1
Client example 498,,,,3007,"4,337",example address 498,Tier 4,Low,Moderate Loss (-19 to -5),"2,613","2,450",32.7731829,-97.0312548,Owner example 498,type 2
Client example 499,,,,474,"1,157",example address 499,Tier 4,Moderate,Extreme Growth (50+),100,899,33.1185901,-97.0275824,Owner example 499,type 2
Client example 500,,,,,287,example address 500,,,Extreme Loss (-50+),249,,32.8630697,-97.0178122,Owner example 500,type 1
Client example 501,,,,,78,example address 501,,Moderate,Extreme Growth (50+),,40,33.0063725,-97.016956,Owner example 501,type 2
Client example 502,,,,,,example address 502,,,,,,32.848415,-97.0062726,Owner example 502,type 2
Client example 503,,,,629,895,example address 503,,Moderate,Extreme Growth (50+),540,878,32.9494646,-97.0057898,Owner example 503,type 2
Client example 504,,,,,"34,525",example address 504,Tier 3,,Moderate Growth (5 to 19),"18,322","20,725",32.81579,-96.9894732,Owner example 504,type 1
Client example 505,,,,,,example address 505,,,,,,32.9805501,-96.9742053,Owner example 505,type 2
Client example 506,,,,804,634,example address 506,,,No Sales,,,33.0367932,-96.969191,Owner example 506,type 2
Client example 507,,,,,,example address 507,,,,,,32.5656019,-96.9679383,Owner example 507,type 2
Client example 508,,,,,287,example address 508,,,Extreme Loss (-50+),249,,32.5932269,-96.9508372,Owner example 508,type 2
Client example 509,,,,,826,example address 509,,,No Sales,,,32.9666332,-96.9367224,Owner example 509,type 2
Client example 510,,,,,,example address 510,,,,,,32.8647576,-96.935871,Owner example 510,type 2
Client example 511,,,,,"7,783",example address 511,Tier 4,,No Growth (-4 to 4),"3,787","3,762",33.0274105,-96.9262805,Owner example 511,type 1
Client example 512,,,,,"21,315",example address 512,Tier 3,,Major Growth (20 to 49),"8,704","11,335",32.604021,-96.917543,Owner example 512,type 1
Client example 513,,,,,988,example address 513,,Low,Extreme Growth (50+),,"1,280",32.9503436,-96.9098033,Owner example 513,type 2
Client example 514,,,,4668,"5,999",example address 514,Tier 4,Moderate,Moderate Growth (5 to 19),"2,076","2,341",33.1655373,-96.9096356,Owner example 514,type 2
Client example 515,,,,,"6,479",example address 515,Tier 4,,No Growth (-4 to 4),"2,256","2,263",33.1655373,-96.9096356,Owner example 515,type 1
Client example 516,,,,,,example address 516,,,,,,33.0926825,-96.906303,Owner example 516,type 2
Client example 517,,,,,"10,670",example address 517,Tier 3,Moderate,Extreme Growth (50+),"1,334","2,805",28.8473274,-96.9041748,Owner example 517,type 2
Client example 518,,,,6991,287,example address 518,,,Extreme Loss (-50+),249,,28.8480404,-96.9026057,Owner example 518,type 2
Client example 519,,,,1374,668,example address 519,,High,Major Loss (-49 to -20),260,140,33.0681681,-96.8911505,Owner example 519,type 2
Client example 520,,,,,538,example address 520,,,No Sales,,,32.53995,-96.875559,Owner example 520,type 2
Client example 521,,,,,,example address 521,,,,,,33.0216275,-96.8737398,Owner example 521,type 2
Client example 522,,,,137,49,example address 522,,,Extreme Loss (-50+),11,,32.8924301,-96.8734866,Owner example 522,type 2
Client example 523,,,,,"292,494",example address 523,Tier 1,,Major Loss (-49 to -20),"176,790","97,511",32.7689911,-96.8727978,Owner example 523,type 1
Client example 524,,,,124,318,example address 524,,High,No Growth (-4 to 4),20,20,32.8350129,-96.8620052,Owner example 524,type 2
Client example 525,,,,,"235,227",example address 525,Tier 1,,No Growth (-4 to 4),"118,903","123,262",32.7681554,-96.860811,Owner example 525,type 1
Client example 526,,,,,"54,286",example address 526,Tier 2,,Extreme Loss (-50+),"26,012","10,886",32.7681554,-96.860811,Owner example 526,type 1
Client example 527,,,,,"44,161",example address 527,Tier 3,,Extreme Loss (-50+),"28,800","2,247",32.7681554,-96.860811,Owner example 527,type 1
Client example 528,,,,5082,"1,173",example address 528,Tier 4,High,Extreme Loss (-50+),"1,135",211,33.368488,-96.8590509,Owner example 528,type 2
Client example 529,,,,1826,"1,268",example address 529,Tier 4,,Extreme Loss (-50+),"1,230",,33.0150985,-96.8587419,Owner example 529,type 2
Client example 530,,,,2997,,example address 530,,,,,,32.9691637,-96.854642,Owner example 530,type 2
Client example 531,,,,,"5,860",example address 531,Tier 4,,Moderate Growth (5 to 19),886,998,32.9250983,-96.8527311,Owner example 531,type 1
Client example 532,,,,,,example address 532,,,,,,32.9250983,-96.8527311,Owner example 532,type 2
Client example 533,,,,,"33,626",example address 533,Tier 3,,Major Loss (-49 to -20),"21,041","11,631",32.967355,-96.8474538,Owner example 533,type 1
Client example 534,,,,,,example address 534,,,,,,33.306218,-96.84647,Owner example 534,type 2
Client example 535,,,,,,example address 535,,High,Extreme Growth (50+),,20,32.8278023,-96.8395059,Owner example 535,type 2
Client example 536,,,,,,example address 536,,,,,,33.336911,-96.826431,Owner example 536,type 2
Client example 537,,,,,"176,794",example address 537,Tier 1,,Major Loss (-49 to -20),"101,581","74,938",32.6896507,-96.824758,Owner example 537,type 1
Client example 538,,,,,"14,133",example address 538,Tier 3,,Major Growth (20 to 49),"6,874","9,358",32.8064685,-96.7999344,Owner example 538,type 1
Client example 539,,,,,291,example address 539,,,Extreme Loss (-50+),249,,32.7761807,-96.7973422,Owner example 539,type 1
Client example 540,,,,,,example address 540,,,,,,32.8457713,-96.7971146,Owner example 540,type 2
Client example 541,,,,604,542,example address 541,,Moderate,Extreme Growth (50+),250,500,33.0020095,-96.7952854,Owner example 541,type 2
Client example 542,,,,7509,"8,683",example address 542,Tier 4,Low,Major Growth (20 to 49),"3,887","5,231",32.9665496,-96.7916078,Owner example 542,type 2
Client example 543,,,,854,792,example address 543,,,Extreme Loss (-50+),750,,32.8160709,-96.7864984,Owner example 543,type 2
Client example 544,,,,8276,"12,433",example address 544,Tier 3,Moderate,Major Loss (-49 to -20),"5,913","4,747",32.3975458,-96.7864801,Owner example 544,type 2
Client example 545,,,,,,example address 545,,,,,,33.2393084,-96.777068,Owner example 545,type 2
Client example 546,,,,2956,"3,522",example address 546,Tier 4,Low,Extreme Growth (50+),"1,520","4,032",33.0231448,-96.773533,Owner example 546,type 2
Client example 547,,,,,"78,157",example address 547,Tier 2,,Moderate Loss (-19 to -5),"40,351","36,513",33.0114706,-96.7724453,Owner example 547,type 1
Client example 548,,,,,291,example address 548,,,Extreme Loss (-50+),249,,33.0114706,-96.7724453,Owner example 548,type 1
Client example 549,,,,,291,example address 549,,,Extreme Loss (-50+),249,,32.9840654,-96.7698935,Owner example 549,type 1
Client example 550,,,,1979,"2,667",example address 550,Tier 4,Moderate,Extreme Loss (-50+),"1,875",750,32.5932027,-96.755434,Owner example 550,type 2
Client example 551,,,,4193,"7,449",example address 551,Tier 4,Low,Major Loss (-49 to -20),"5,320","3,434",33.0398472,-96.7518587,Owner example 551,type 2
Client example 552,,,,,,example address 552,,,,,,33.1825438,-96.7465766,Owner example 552,type 2
Client example 553,,,,,439,example address 553,,Low,Extreme Growth (50+),,553,33.0518241,-96.7402417,Owner example 553,type 2
Client example 554,,,,148,207,example address 554,,High,Extreme Loss (-50+),121,33,32.9772838,-96.7389873,Owner example 554,type 2
Client example 555,,,,1158,"2,795",example address 555,Tier 4,Low,Extreme Growth (50+),60,760,33.1619577,-96.7324957,Owner example 555,type 2
Client example 556,,,,20,,example address 556,,,,,,32.8114916,-96.7308764,Owner example 556,type 2
Client example 557,,,,712,82,example address 557,,High,Extreme Growth (50+),,20,32.908271,-96.7276574,Owner example 557,type 2
Client example 558,,,,,"87,746",example address 558,Tier 2,,Moderate Loss (-19 to -5),"46,970","39,990",33.1502614,-96.7264366,Owner example 558,type 1
Client example 559,,,,,"25,640",example address 559,Tier 3,,Major Growth (20 to 49),"8,821","10,636",33.1502614,-96.7264366,Owner example 559,type 1
Client example 560,,,,,"16,102",example address 560,Tier 3,,Moderate Loss (-19 to -5),"9,854","9,398",32.8645702,-96.7127014,Owner example 560,type 1
Client example 561,,,,,291,example address 561,,,Extreme Loss (-50+),249,,32.9555554,-96.7022693,Owner example 561,type 1
Client example 562,,,,,"23,618",example address 562,Tier 3,,Major Growth (20 to 49),"7,499","10,871",32.9555554,-96.7022693,Owner example 562,type 1
Client example 563,,,,,,example address 563,,,,,,32.9555554,-96.7022693,Owner example 563,type 2
Client example 564,,,,,523,example address 564,,,No Sales,,,32.8029302,-96.6978369,Owner example 564,type 2
Client example 565,,,,617,"1,385",example address 565,Tier 4,Low,Extreme Growth (50+),450,"1,298",32.7929608,-96.6976675,Owner example 565,type 2
Client example 566,,,,,"20,221",example address 566,Tier 3,,Major Growth (20 to 49),"11,194","15,683",32.8613761,-96.692614,Owner example 566,type 1
Client example 567,,,,,"67,713",example address 567,Tier 2,,No Growth (-4 to 4),"45,060","44,482",32.7499952,-96.6843063,Owner example 567,type 1
Client example 568,,,,,"176,037",example address 568,Tier 1,,Major Loss (-49 to -20),"86,555","63,749",33.0878842,-96.6694085,Owner example 568,type 1
Client example 569,,,,,62,example address 569,,,Extreme Loss (-50+),20,,32.8513005,-96.6611601,Owner example 569,type 2
Client example 570,,,,,"9,733",example address 570,Tier 4,,Major Growth (20 to 49),"3,763","4,970",33.085974,-96.6465871,Owner example 570,type 1
Client example 571,,,,,"23,872",example address 571,Tier 3,,Extreme Growth (50+),,"22,753",32.8640025,-96.6445622,Owner example 571,type 1
Client example 572,,,,,,example address 572,,,,,,32.3436959,-96.6442491,Owner example 572,type 2
Client example 573,,,,,"37,086",example address 573,Tier 3,,Extreme Loss (-50+),"19,800","5,942",32.786368,-96.6292834,Owner example 573,type 1
Client example 574,,,,,"53,974",example address 574,Tier 2,,Major Loss (-49 to -20),"15,825","10,972",33.2053689,-96.6132892,Owner example 574,type 1
Client example 575,,,,,"2,036",example address 575,Tier 4,Moderate,Extreme Growth (50+),"1,825","2,987",32.7188458,-96.6109203,Owner example 575,type 2
Client example 576,,,,1970,"3,900",example address 576,Tier 4,High,Extreme Loss (-50+),"2,964",298,33.0175745,-96.610879,Owner example 576,type 2
Client example 577,,,,,,example address 577,,Moderate,Extreme Growth (50+),,"1,230",32.9347059,-96.6071439,Owner example 577,type 2
Client example 578,,,,,"35,492",example address 578,Tier 3,,Major Growth (20 to 49),"17,495","22,611",32.9062209,-96.6032844,Owner example 578,type 1
Client example 579,,,,,"5,902",example address 579,Tier 4,,Extreme Growth (50+),240,"2,020",32.9009548,-96.5700812,Owner example 579,type 1
Client example 580,,,,,291,example address 580,,,Extreme Loss (-50+),249,,32.6486307,-96.5405111,Owner example 580,type 2
Client example 581,,,,,480,example address 581,,,No Sales,,,33.7550985,-96.537497,Owner example 581,type 2
Client example 582,,,,,,example address 582,,,,,,32.9152711,-96.5256635,Owner example 582,type 2
Client example 583,,,,2359,"2,269",example address 583,Tier 4,Moderate,Extreme Growth (50+),"1,170","4,025",32.0878521,-96.4625191,Owner example 583,type 2
Client example 584,,,,,"1,842",example address 584,Tier 4,,Extreme Loss (-50+),423,,32.7341127,-96.4558085,Owner example 584,type 2
Client example 585,,,,,"188,475",example address 585,Tier 1,,Major Growth (20 to 49),"113,545","150,200",32.6289559,-96.4556089,Owner example 585,type 1
Client example 586,,,,,"13,699",example address 586,Tier 3,,No Growth (-4 to 4),"8,521","8,421",32.8773761,-96.4515463,Owner example 586,type 1
Client example 587,,,,,"34,948",example address 587,Tier 3,,Major Loss (-49 to -20),"17,674","12,877",32.9264286,-96.4295977,Owner example 587,type 1
Client example 588,,,,1454,"11,235",example address 588,Tier 3,Moderate,Major Growth (20 to 49),"3,387","4,120",30.1478207,-96.4146034,Owner example 588,type 2
Client example 589,,,,1353,"1,075",example address 589,Tier 4,Moderate,Major Loss (-49 to -20),796,518,29.8155607,-96.4065503,Owner example 589,type 2
Client example 590,,,,,,example address 590,,,,,,29.1630522,-96.3912015,Owner example 590,type 2
Client example 591,,,,,82,example address 591,,,Extreme Loss (-50+),20,,33.209621,-96.369514,Owner example 591,type 2
